                  q0             task.q+               q_sum                 q3D                diff
        -4.15455e-17                   0        -4.15455e-17                   0         4.15455e-17
        -4.68092e-17                   0        -4.68092e-17                   0         4.68092e-17
        -4.96505e-17                   0        -4.96505e-17                   0         4.96505e-17
        -4.77763e-17                   0        -4.77763e-17                   0         4.77763e-17
        -4.67546e-17                   0        -4.67546e-17                   0         4.67546e-17
        -4.64484e-17                   0        -4.64484e-17                   0         4.64484e-17
        -4.67017e-17                   0        -4.67017e-17                   0         4.67017e-17
        -4.74491e-17                   0        -4.74491e-17                   0         4.74491e-17
         -4.8801e-17                   0         -4.8801e-17                   0          4.8801e-17
        -4.83605e-17                   0        -4.83605e-17                   0         4.83605e-17
        -4.68092e-17                   0        -4.68092e-17                   0         4.68092e-17
        -3.65035e-17                   0        -3.65035e-17                   0         3.65035e-17
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
        -4.44397e-17                   0        -4.44397e-17                   0         4.44397e-17
        -4.74007e-17                   0        -4.74007e-17                   0         4.74007e-17
        -4.59333e-17                   0        -4.59333e-17                   0         4.59333e-17
        -4.40654e-17                   0        -4.40654e-17                   0         4.40654e-17
        -3.51571e-17                   0        -3.51571e-17                   0         3.51571e-17
        -3.01657e-17                   0        -3.01657e-17                   0         3.01657e-17
        -2.86517e-17                   0        -2.86517e-17                   0         2.86517e-17
        -2.99047e-17                   0        -2.99047e-17                   0         2.99047e-17
        -3.35684e-17                   0        -3.35684e-17                   0         3.35684e-17
        -4.00785e-17                   0        -4.00785e-17                   0         4.00785e-17
         -4.5497e-17                   0         -4.5497e-17                   0          4.5497e-17
        -4.59333e-17                   0        -4.59333e-17                   0         4.59333e-17
        -4.87897e-17                   0        -4.87897e-17                   0         4.87897e-17
        -3.96333e-17                   0        -3.96333e-17                   0         3.96333e-17
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
         -3.4603e-17                   0         -3.4603e-17                   0          3.4603e-17
         -4.8205e-17                   0         -4.8205e-17                   0          4.8205e-17
        -4.08837e-17                   0        -4.08837e-17                   0         4.08837e-17
        -3.41857e-17                   0        -3.41857e-17                   0         3.41857e-17
        -2.54744e-17                   0        -2.54744e-17                   0         2.54744e-17
        -1.64679e-17                   0        -1.64679e-17                   0         1.64679e-17
        -1.18985e-17                   0        -1.18985e-17                   0         1.18985e-17
        -1.04811e-17                   0        -1.04811e-17                   0         1.04811e-17
        -1.16552e-17                   0        -1.16552e-17                   0         1.16552e-17
        -1.50293e-17                   0        -1.50293e-17                   0         1.50293e-17
        -2.08441e-17                   0        -2.08441e-17                   0         2.08441e-17
        -3.21714e-17                   0        -3.21714e-17                   0         3.21714e-17
        -3.41857e-17                   0        -3.41857e-17                   0         3.41857e-17
        -4.48362e-17                   0        -4.48362e-17                   0         4.48362e-17
        -4.94738e-17                   0        -4.94738e-17                   0         4.94738e-17
        -3.12923e-17                   0        -3.12923e-17                   0         3.12923e-17
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
        -3.93897e-17                   0        -3.93897e-17                   0         3.93897e-17
        -4.68448e-17                   0        -4.68448e-17                   0         4.68448e-17
        -3.45106e-17                   0        -3.45106e-17                   0         3.45106e-17
        -2.73534e-17                   0        -2.73534e-17                   0         2.73534e-17
        -1.89464e-17                   0        -1.89464e-17                   0         1.89464e-17
        -1.02397e-17                   0        -1.02397e-17                   0         1.02397e-17
        -6.11158e-18                   0        -6.11158e-18                   0         6.11158e-18
        -5.44876e-18                   0        -5.44876e-18                   0         5.44876e-18
        -5.99825e-18                   0        -5.99825e-18                   0         5.99825e-18
        -8.61971e-18                   0        -8.61971e-18                   0         8.61971e-18
        -1.51068e-17                   0        -1.51068e-17                   0         1.51068e-17
        -2.51872e-17                   0        -2.51872e-17                   0         2.51872e-17
        -2.73534e-17                   0        -2.73534e-17                   0         2.73534e-17
        -4.11289e-17                   0        -4.11289e-17                   0         4.11289e-17
        -4.81675e-17                   0        -4.81675e-17                   0         4.81675e-17
        -3.59786e-17                   0        -3.59786e-17                   0         3.59786e-17
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
        -4.38815e-17                   0        -4.38815e-17                   0         4.38815e-17
        -4.55514e-17                   0        -4.55514e-17                   0         4.55514e-17
        -2.83307e-17                   0        -2.83307e-17                   0         2.83307e-17
        -2.09006e-17                   0        -2.09006e-17                   0         2.09006e-17
        -1.35639e-17                   0        -1.35639e-17                   0         1.35639e-17
        -5.61105e-18                   0        -5.61105e-18                   0         5.61105e-18
        -3.16337e-18                   0        -3.16337e-18                   0         3.16337e-18
        -2.36888e-18                   0        -2.36888e-18                   0         2.36888e-18
        -3.02842e-18                   0        -3.02842e-18                   0         3.02842e-18
        -4.85649e-18                   0        -4.85649e-18                   0         4.85649e-18
        -9.31252e-18                   0        -9.31252e-18                   0         9.31252e-18
        -1.92263e-17                   0        -1.92263e-17                   0         1.92263e-17
        -2.09006e-17                   0        -2.09006e-17                   0         2.09006e-17
        -3.53559e-17                   0        -3.53559e-17                   0         3.53559e-17
        -4.69298e-17                   0        -4.69298e-17                   0         4.69298e-17
        -4.03705e-17                   0        -4.03705e-17                   0         4.03705e-17
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
        -4.99198e-17                   0        -4.99198e-17                   0         4.99198e-17
        -4.29929e-17                   0        -4.29929e-17                   0         4.29929e-17
        -2.01721e-17                   0        -2.01721e-17                   0         2.01721e-17
        -1.40623e-17                   0        -1.40623e-17                   0         1.40623e-17
        -6.35576e-18                   0        -6.35576e-18                   0         6.35576e-18
        -1.52916e-18                   0        -1.52916e-18                   0         1.52916e-18
        -6.07752e-19                   0        -6.07752e-19                   0         6.07752e-19
        -3.02059e-19                   0        -3.02059e-19                   0         3.02059e-19
         -5.5725e-19                   0         -5.5725e-19                   0          5.5725e-19
        -1.20563e-18                   0        -1.20563e-18                   0         1.20563e-18
        -4.30755e-18                   0        -4.30755e-18                   0         4.30755e-18
        -1.21719e-17                   0        -1.21719e-17                   0         1.21719e-17
        -1.40623e-17                   0        -1.40623e-17                   0         1.40623e-17
        -2.73289e-17                   0        -2.73289e-17                   0         2.73289e-17
        -4.52449e-17                   0        -4.52449e-17                   0         4.52449e-17
        -4.62652e-17                   0        -4.62652e-17                   0         4.62652e-17
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
        -4.97067e-17                   0        -4.97067e-17                   0         4.97067e-17
        -3.91944e-17                   0        -3.91944e-17                   0         3.91944e-17
        -1.66664e-17                   0        -1.66664e-17                   0         1.66664e-17
        -1.01369e-17                   0        -1.01369e-17                   0         1.01369e-17
        -4.44815e-18                   0        -4.44815e-18                   0         4.44815e-18
        -7.73227e-19                   0        -7.73227e-19                   0         7.73227e-19
        -9.91349e-20                   0        -9.91349e-20                   0         9.91349e-20
         -1.3852e-20                   0         -1.3852e-20                   0          1.3852e-20
        -8.64473e-20                   0        -8.64473e-20                   0         8.64473e-20
        -4.55742e-19                   0        -4.55742e-19                   0         4.55742e-19
        -2.13364e-18                   0        -2.13364e-18                   0         2.13364e-18
        -8.09449e-18                   0        -8.09449e-18                   0         8.09449e-18
        -1.01369e-17                   0        -1.01369e-17                   0         1.01369e-17
        -2.28587e-17                   0        -2.28587e-17                   0         2.28587e-17
        -4.43274e-17                   0        -4.43274e-17                   0         4.43274e-17
        -4.94311e-17                   0        -4.94311e-17                   0         4.94311e-17
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
        -2.92213e-17                   0        -2.92213e-17                   0         2.92213e-17
        -4.94763e-17                   0        -4.94763e-17                   0         4.94763e-17
        -3.80541e-17                   0        -3.80541e-17                   0         3.80541e-17
        -1.55969e-17                   0        -1.55969e-17                   0         1.55969e-17
        -8.92686e-18                   0        -8.92686e-18                   0         8.92686e-18
        -3.84633e-18                   0        -3.84633e-18                   0         3.84633e-18
        -5.39246e-19                   0        -5.39246e-19                   0         5.39246e-19
        -3.13781e-20                   0        -3.13781e-20                   0         3.13781e-20
        -3.14573e-22                   0        -3.14573e-22                   0         3.14573e-22
         -1.3852e-20                   0         -1.3852e-20                   0          1.3852e-20
        -1.89112e-19                   0        -1.89112e-19                   0         1.89112e-19
        -1.43152e-18                   0        -1.43152e-18                   0         1.43152e-18
        -6.83247e-18                   0        -6.83247e-18                   0         6.83247e-18
        -8.92686e-18                   0        -8.92686e-18                   0         8.92686e-18
        -2.15042e-17                   0        -2.15042e-17                   0         2.15042e-17
        -4.40526e-17                   0        -4.40526e-17                   0         4.40526e-17
        -5.03728e-17                   0        -5.03728e-17                   0         5.03728e-17
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
        -4.97067e-17                   0        -4.97067e-17                   0         4.97067e-17
        -3.91944e-17                   0        -3.91944e-17                   0         3.91944e-17
        -1.66664e-17                   0        -1.66664e-17                   0         1.66664e-17
        -1.01369e-17                   0        -1.01369e-17                   0         1.01369e-17
        -4.44815e-18                   0        -4.44815e-18                   0         4.44815e-18
        -7.73227e-19                   0        -7.73227e-19                   0         7.73227e-19
        -9.91349e-20                   0        -9.91349e-20                   0         9.91349e-20
         -1.3852e-20                   0         -1.3852e-20                   0          1.3852e-20
        -8.64473e-20                   0        -8.64473e-20                   0         8.64473e-20
        -4.55742e-19                   0        -4.55742e-19                   0         4.55742e-19
        -2.13364e-18                   0        -2.13364e-18                   0         2.13364e-18
        -8.09449e-18                   0        -8.09449e-18                   0         8.09449e-18
        -1.01369e-17                   0        -1.01369e-17                   0         1.01369e-17
        -2.28587e-17                   0        -2.28587e-17                   0         2.28587e-17
        -4.43274e-17                   0        -4.43274e-17                   0         4.43274e-17
        -4.94311e-17                   0        -4.94311e-17                   0         4.94311e-17
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
        -4.99198e-17                   0        -4.99198e-17                   0         4.99198e-17
        -4.29929e-17                   0        -4.29929e-17                   0         4.29929e-17
        -2.01721e-17                   0        -2.01721e-17                   0         2.01721e-17
        -1.40623e-17                   0        -1.40623e-17                   0         1.40623e-17
        -6.35576e-18                   0        -6.35576e-18                   0         6.35576e-18
        -1.52916e-18                   0        -1.52916e-18                   0         1.52916e-18
        -6.07752e-19                   0        -6.07752e-19                   0         6.07752e-19
        -3.02059e-19                   0        -3.02059e-19                   0         3.02059e-19
         -5.5725e-19                   0         -5.5725e-19                   0          5.5725e-19
        -1.20563e-18                   0        -1.20563e-18                   0         1.20563e-18
        -4.30755e-18                   0        -4.30755e-18                   0         4.30755e-18
        -1.21719e-17                   0        -1.21719e-17                   0         1.21719e-17
        -1.40623e-17                   0        -1.40623e-17                   0         1.40623e-17
        -2.73289e-17                   0        -2.73289e-17                   0         2.73289e-17
        -4.52449e-17                   0        -4.52449e-17                   0         4.52449e-17
        -4.62652e-17                   0        -4.62652e-17                   0         4.62652e-17
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
                   0                   0                   0                   0                   0
